Label,,,Naver,,,,,,
ID,gender,age,gender,acc,age_min,age_max,acc,gender_diff,age_diff
000071,female,56,female,0.999699,73,77,0.695182,TRUE,FALSE
000073,female,52,female,0.99981,69,73,0.442731,TRUE,FALSE
000075,female,56,male,0.810914,62,66,0.209334,FALSE,FALSE
000077,male,59,male,0.999995,64,68,0.62481,TRUE,FALSE
000078,female,55,male,0.997673,59,63,0.103604,FALSE,FALSE
000079,female,57,male,0.528027,68,72,0.615386,FALSE,FALSE
000080,female,57,female,0.998493,65,69,0.577639,TRUE,FALSE
000206,female,57,male,0.99996,75,79,0.0513603,FALSE,FALSE
000207,female,56,male,0.995057,73,77,0.0854086,FALSE,FALSE
000209,female,56,female,0.970794,77,81,0.0300706,TRUE,FALSE
000210,female,54,male,0.999486,64,68,0.797089,FALSE,FALSE
000212,female,51,male,0.999958,71,75,0.861208,FALSE,FALSE
000214,female,51,male,0.999986,66,70,1,FALSE,FALSE
000215,female,59,male,0.55741,86,90,0.534298,FALSE,FALSE
000216,female,56,male,0.999896,75,79,0.252285,FALSE,FALSE
000217,female,54,female,0.688614,75,79,0.330607,TRUE,FALSE
000218,female,59,female,0.999783,72,76,0.234001,TRUE,FALSE
000219,female,53,male,0.830474,67,71,1,FALSE,FALSE
000221,female,40,male,0.996692,67,71,1,FALSE,FALSE
000224,female,56,female,0.997386,89,93,0.737656,TRUE,FALSE
000225,female,25,female,0.762047,36,40,0.146505,TRUE,FALSE
000226,female,58,male,0.999998,62,66,0.167018,FALSE,FALSE
000227,female,59,male,0.999846,62,66,0.583376,FALSE,FALSE
000228,female,56,male,0.999223,82,86,0.306324,FALSE,FALSE
000229,male,56,male,0.999839,90,94,0.714903,TRUE,FALSE
000231,male,56,male,0.999977,76,80,0.213418,TRUE,FALSE
000232,male,53,male,0.999999,70,74,0.44142,TRUE,FALSE
000235,male,57,male,0.999998,67,71,0.527867,TRUE,FALSE
000236,male,51,male,1,63,67,0.683891,TRUE,FALSE
000237,male,56,male,0.999989,86,90,0.379335,TRUE,FALSE
000238,male,57,male,0.99999,76,80,0.504564,TRUE,FALSE
000240,male,57,male,0.999995,85,89,0.464823,TRUE,FALSE
000241,male,56,male,0.999995,75,79,0.302442,TRUE,FALSE
000242,male,56,male,0.999999,82,86,0.910083,TRUE,FALSE
000243,female,58,male,0.999865,81,85,0.584726,FALSE,FALSE
000244,female,56,child,0.99477,86,90,0.314478,FALSE,FALSE
000245,male,58,male,1,66,70,0.824046,TRUE,FALSE
000248,female,54,female,0.991259,66,70,0.53155,TRUE,FALSE
000249,male,53,male,0.999996,71,75,0.737127,TRUE,FALSE
000255,female,59,female,0.999406,74,78,0.16605,TRUE,FALSE
000256,female,58,female,0.730388,73,77,0.102811,TRUE,FALSE
000260,female,58,female,0.999431,69,73,1,TRUE,FALSE
000261,female,58,male,0.99995,82,86,0.235457,FALSE,FALSE
000262,male,56,male,1,60,64,1,TRUE,FALSE
000263,female,48,male,0.761179,54,58,1,FALSE,FALSE
000264,female,51,male,0.994392,72,76,0.558363,FALSE,FALSE
000265,female,58,male,0.998299,80,84,0.299313,FALSE,FALSE
000266,female,58,female,0.661859,51,55,1,TRUE,FALSE
000267,male,58,male,0.999999,73,77,0.341823,TRUE,FALSE
000268,male,59,male,0.999991,86,90,0.365535,TRUE,FALSE
000269,male,56,male,0.999999,84,88,0.369022,TRUE,FALSE
000270,female,49,male,0.998006,70,74,0.390297,FALSE,FALSE
000272,female,52,male,0.992022,78,82,0.621656,FALSE,FALSE
000273,female,56,male,0.999874,79,83,0.304034,FALSE,FALSE
000274,female,54,male,0.549002,66,70,0.456001,FALSE,FALSE
000275,female,54,female,0.990105,66,70,0.409646,TRUE,FALSE
000276,female,58,male,0.999587,69,73,1,FALSE,FALSE
000277,female,54,male,0.999353,92,96,0.652288,FALSE,FALSE
000278,female,54,male,0.854889,79,83,0.688357,FALSE,FALSE
000279,female,54,male,0.999988,76,80,0.293687,FALSE,FALSE
000280,female,54,male,0.999992,75,79,0.163349,FALSE,FALSE
000282,female,59,male,0.999753,77,81,0.302737,FALSE,FALSE
000283,female,57,male,0.999864,78,82,0.289607,FALSE,FALSE
000285,female,54,female,0.990145,80,84,0.184014,TRUE,FALSE
000286,female,51,male,0.999969,74,78,0.465443,FALSE,FALSE
000288,female,51,male,0.997557,66,70,0.457666,FALSE,FALSE
000292,female,57,male,0.999138,57,61,0.4584,FALSE,TRUE
000293,female,57,male,0.998924,71,75,0.58227,FALSE,FALSE
000294,female,53,female,0.668905,65,69,0.710234,TRUE,FALSE
000295,female,56,male,0.999045,66,70,0.772377,FALSE,FALSE
000296,female,57,female,0.997378,54,58,0.951486,TRUE,TRUE
000297,female,53,female,0.51634,50,54,0.55808,TRUE,TRUE
000299,female,57,male,0.999992,80,84,0.38674,FALSE,FALSE
000301,female,55,female,0.996057,65,69,0.513469,TRUE,FALSE
000302,female,56,female,0.999885,73,77,0.298112,TRUE,FALSE
000304,female,51,female,0.999933,70,74,0.558096,TRUE,FALSE
000309,male,29,male,0.999997,28,32,0.539402,TRUE,TRUE
000311,female,58,male,0.999121,57,61,1,FALSE,TRUE
000312,female,57,male,0.980051,68,72,0.541189,FALSE,FALSE
000313,female,54,female,0.999591,73,77,1,TRUE,FALSE
000334,female,52,female,0.994098,68,72,0.519549,TRUE,FALSE
000336,female,56,female,0.999504,74,78,0.27231,TRUE,FALSE
000344,female,57,male,0.997842,77,81,0.201395,FALSE,FALSE
000348,male,58,male,0.999993,75,79,0.52779,TRUE,FALSE
000356,female,58,female,0.732656,75,79,0.736151,TRUE,FALSE
000357,female,55,male,0.999889,68,72,0.799117,FALSE,FALSE
000376,female,59,male,0.999929,72,76,0.628131,FALSE,FALSE
000378,female,55,male,0.997906,72,76,0.474307,FALSE,FALSE
000381,female,59,male,0.999971,87,91,0.294745,FALSE,FALSE
000498,female,56,female,0.997122,67,71,1,TRUE,FALSE
000499,female,58,female,0.996275,78,82,0.734854,TRUE,FALSE
000511,female,55,female,0.882119,56,60,0.847585,TRUE,FALSE
000512,female,55,female,0.999848,65,69,0.88758,TRUE,FALSE
000513,female,58,female,0.998833,81,85,0.409845,TRUE,FALSE
000514,female,59,male,0.999511,80,84,0.431291,FALSE,FALSE
000515,female,50,female,0.968818,73,77,0.0129291,TRUE,FALSE
000516,female,52,female,0.696185,77,81,0.212806,TRUE,FALSE
000517,female,58,female,0.762582,67,71,0.654197,TRUE,FALSE
000518,female,55,male,0.536217,83,87,0.483187,FALSE,FALSE
000519,female,56,female,0.999262,69,73,0.231012,TRUE,FALSE
000520,female,59,female,0.998987,77,81,0.569468,TRUE,FALSE
000522,female,51,female,0.995822,69,73,0.396897,TRUE,FALSE
000523,female,51,female,0.974298,56,60,0.519204,TRUE,FALSE
000525,female,53,male,0.632534,63,67,0.365887,FALSE,FALSE
000526,female,59,female,0.999351,55,59,0.509978,TRUE,TRUE
000527,female,58,male,0.781864,85,89,0.396419,FALSE,FALSE
000528,female,51,male,0.537409,79,83,0.235746,FALSE,FALSE
000529,female,51,male,0.699314,59,63,0.0592248,FALSE,FALSE
000531,female,56,female,0.999749,68,72,0.88581,TRUE,FALSE
000532,female,57,female,0.674499,82,86,0.467437,TRUE,FALSE
000533,female,54,male,0.83558,68,72,0.683314,FALSE,FALSE
000534,female,50,female,0.770462,76,80,0.316712,TRUE,FALSE
000535,female,50,male,0.99865,57,61,0.876533,FALSE,FALSE
000536,female,51,female,0.994968,69,73,0.204532,TRUE,FALSE
000538,male,54,male,0.986548,73,77,0.361113,TRUE,FALSE
000539,female,54,male,0.997106,84,88,0.539225,FALSE,FALSE
000541,female,35,female,0.999876,50,54,0.656855,TRUE,FALSE
000542,female,58,female,0.84936,79,83,0.402164,TRUE,FALSE
000543,male,35,male,1,40,44,0.406568,TRUE,FALSE
000545,female,58,female,0.9987,65,69,1,TRUE,FALSE
000546,female,52,female,0.964037,56,60,0.633487,TRUE,FALSE
000547,female,55,female,0.997045,68,72,0.264934,TRUE,FALSE
000548,female,53,female,0.711107,85,89,0.357597,TRUE,FALSE
000549,female,58,female,0.966099,84,88,0.420242,TRUE,FALSE
000550,male,56,male,0.999997,69,73,0.0430574,TRUE,FALSE
000552,female,56,female,0.999552,83,87,0.345392,TRUE,FALSE
000553,female,58,female,0.841205,63,67,0.720591,TRUE,FALSE
000554,female,54,female,0.999788,63,67,0.796621,TRUE,FALSE
000556,male,57,male,1,54,58,0.452906,TRUE,TRUE
000557,female,57,female,0.99973,62,66,0.577382,TRUE,FALSE
000558,female,58,female,0.999888,74,78,0.521856,TRUE,FALSE
000559,female,59,female,0.999892,71,75,0.526599,TRUE,FALSE
000560,female,55,female,0.659432,55,59,0.464322,TRUE,TRUE
000561,female,52,male,0.960354,72,76,0.466056,FALSE,FALSE
000562,female,58,male,0.510095,75,79,0.359804,FALSE,FALSE
000563,female,58,female,0.997874,82,86,0.484847,TRUE,FALSE
000564,female,57,male,0.998727,84,88,0.785553,FALSE,FALSE
000565,female,35,female,0.999918,53,57,0.301375,TRUE,FALSE
000566,male,58,male,0.999991,69,73,0.315875,TRUE,FALSE
000567,female,51,male,0.992368,79,83,0.447339,FALSE,FALSE
000568,female,54,male,0.903345,80,84,0.314397,FALSE,FALSE
000570,female,54,female,0.999234,46,50,0.289392,TRUE,FALSE
000571,male,51,male,1,64,68,0.657968,TRUE,FALSE
000572,female,57,male,0.999278,63,67,0.847692,FALSE,FALSE
000573,female,50,female,0.999144,61,65,0.207146,TRUE,FALSE
000574,female,56,female,0.99729,58,62,0.537266,TRUE,FALSE
000575,male,55,male,0.999999,64,68,0.802662,TRUE,FALSE
000576,female,56,female,0.613391,70,74,0.452171,TRUE,FALSE
000577,female,57,female,0.990807,68,72,0.967917,TRUE,FALSE
000588,female,58,female,0.999224,68,72,0.430907,TRUE,FALSE
000589,female,56,female,0.96847,67,71,0.727803,TRUE,FALSE
000590,male,52,male,0.999993,85,89,0.292337,TRUE,FALSE
000591,female,55,female,0.999486,77,81,0.446149,TRUE,FALSE
000592,female,57,female,0.784366,84,88,0.275283,TRUE,FALSE
000593,female,58,female,0.984233,67,71,0.348461,TRUE,FALSE
000594,female,57,female,0.999776,67,71,1,TRUE,FALSE
000595,male,56,male,0.999994,70,74,0.286511,TRUE,FALSE
000596,female,55,female,0.755796,75,79,0.338245,TRUE,FALSE
000597,male,57,male,0.966044,72,76,0.191232,TRUE,FALSE
000598,female,54,female,0.995632,55,59,0.56107,TRUE,FALSE
000600-1,female,54,female,0.99586,73,77,0.176084,TRUE,FALSE
000600,female,52,female,0.997501,57,61,0.111724,TRUE,FALSE
000601,female,53,male,0.997099,62,66,0.535211,FALSE,FALSE
000602,female,50,male,0.714984,63,67,0.302842,FALSE,FALSE
000605,male,57,male,0.999997,83,87,0.540232,TRUE,FALSE
000606,female,58,female,0.604464,87,91,0.402753,TRUE,FALSE
000607,female,53,female,0.998564,68,72,0.652695,TRUE,FALSE
000609,male,57,male,0.99993,77,81,0.296833,TRUE,FALSE
000610,female,52,male,0.577859,72,76,0.0772124,FALSE,FALSE
000611,male,51,male,0.999989,62,66,0.189492,TRUE,FALSE
000613,male,51,male,0.999996,63,67,0.235588,TRUE,FALSE
000614,female,56,female,0.991515,72,76,0.127451,TRUE,FALSE
000615,male,56,male,0.999991,52,56,0.64873,TRUE,TRUE
000616,female,57,female,0.943339,74,78,0.369139,TRUE,FALSE
000618,male,37,male,0.99999,54,58,0.292445,TRUE,FALSE
000619,female,56,female,0.758752,84,88,0.5238,TRUE,FALSE
000620,female,51,female,0.988352,65,69,0.539282,TRUE,FALSE
000621,female,57,female,0.991292,66,70,0.215361,TRUE,FALSE
000622,male,56,male,0.999998,63,67,0.422467,TRUE,FALSE
000623,female,57,female,0.98285,73,77,0.387025,TRUE,FALSE
000625,male,57,male,0.999997,81,85,0.632082,TRUE,FALSE
000626,female,57,female,0.781194,75,79,0.0630251,TRUE,FALSE
000628,male,51,male,0.99984,66,70,0.531895,TRUE,FALSE
000629,female,58,female,0.972431,75,79,0.289913,TRUE,FALSE
000630,female,55,female,0.999722,80,84,0.307504,TRUE,FALSE
000631,female,57,male,0.783831,86,90,0.512146,FALSE,FALSE
000632,female,54,female,0.999929,67,71,0.750536,TRUE,FALSE
000633,female,59,female,0.926074,89,93,0.446403,TRUE,FALSE
000635,female,58,female,0.987469,88,92,0.491939,TRUE,FALSE
000636,female,51,male,0.531237,63,67,0.526634,FALSE,FALSE
000637,female,50,male,0.980318,60,64,0.248168,FALSE,FALSE
000639,female,54,male,0.994685,86,90,0.611952,FALSE,FALSE
000640,female,57,male,0.991605,63,67,0.667686,FALSE,FALSE
000641,female,57,female,0.420039,65,69,0.539276,TRUE,FALSE
000642,female,54,male,0.955456,79,83,0.570466,FALSE,FALSE
000643,female,53,female,0.999359,64,68,0.14756,TRUE,FALSE
000644,female,54,male,0.990486,71,75,0.310518,FALSE,FALSE
000645,female,57,male,0.999709,66,70,0.664949,FALSE,FALSE
000646,female,51,female,0.999921,63,67,0.728649,TRUE,FALSE
000647,female,53,female,0.917446,88,92,0.622196,TRUE,FALSE
000650,male,54,male,0.999453,71,75,0.179913,TRUE,FALSE
000651,male,54,male,0.987622,81,85,0.419082,TRUE,FALSE
000652,female,58,female,0.982604,74,78,0.223161,TRUE,FALSE
000653,female,52,female,0.991705,68,72,0.354596,TRUE,FALSE
000654,female,53,female,0.999899,85,89,0.329915,TRUE,FALSE
000655,male,53,male,0.999999,82,86,0.320992,TRUE,FALSE
000656,female,57,female,0.986332,76,80,0.150575,TRUE,FALSE
000657,female,52,,,,,,FALSE,FALSE
000658,male,58,male,0.999782,75,79,0.179223,TRUE,FALSE
000659,male,58,male,0.714756,86,90,0.353452,TRUE,FALSE
000661,male,55,male,1,55,59,0.590936,TRUE,TRUE
000662,female,53,male,0.999866,72,76,0.110769,FALSE,FALSE
000663,female,57,male,0.622202,71,75,0.0578804,FALSE,FALSE
000664,female,55,male,0.999946,70,74,0.581592,FALSE,FALSE
000665,female,54,female,0.937489,73,77,0.232848,TRUE,FALSE
000667,female,57,male,0.997569,68,72,0.35468,FALSE,FALSE
000668,female,53,male,0.605021,69,73,0.201117,FALSE,FALSE
000669,female,58,female,0.999295,71,75,0.0917455,TRUE,FALSE
000670,female,51,female,0.92566,84,88,0.394882,TRUE,FALSE
000671,female,55,female,0.99966,82,86,0.345427,TRUE,FALSE
000672,female,53,female,0.958338,83,87,0.329632,TRUE,FALSE
000673,female,54,female,0.999745,80,84,0.414907,TRUE,FALSE
000675,female,59,female,0.981839,65,69,0.638242,TRUE,FALSE
000676,female,57,female,0.663042,72,76,0.0473674,TRUE,FALSE
000678,female,52,female,0.790714,87,91,0.684528,TRUE,FALSE
000679,female,55,female,0.994516,56,60,0.610269,TRUE,FALSE
000684,female,56,female,0.870478,62,66,0.373567,TRUE,FALSE
000685,male,19,male,0.993055,25,29,0.639082,TRUE,FALSE
000686,female,52,male,0.998228,77,81,0.431206,FALSE,FALSE
000687,male,50,male,0.999997,66,70,0.818702,TRUE,FALSE
000688,female,57,female,0.939948,58,62,0.648917,TRUE,FALSE
000689,female,57,female,0.941665,84,88,0.540581,TRUE,FALSE
000690,female,51,female,0.992413,60,64,0.203302,TRUE,FALSE
000691,female,56,female,0.998605,81,85,0.388912,TRUE,FALSE
000692,female,55,female,0.994771,85,89,0.198057,TRUE,FALSE
000693,female,54,male,0.998974,69,73,0.385953,FALSE,FALSE
000694,female,54,female,0.99986,87,91,0.534042,TRUE,FALSE
000695,female,53,female,0.990492,53,57,1,TRUE,TRUE
000696,female,58,male,0.997685,85,89,0.363147,FALSE,FALSE
000697,female,58,female,0.990739,86,90,0.386525,TRUE,FALSE
000698,female,55,male,0.995671,73,77,0.284157,FALSE,FALSE
000699,female,57,female,0.998458,79,83,0.443371,TRUE,FALSE
000700,female,50,female,0.995953,84,88,0.723435,TRUE,FALSE
000711,female,53,female,0.999399,85,89,0.40488,TRUE,FALSE
000712,female,50,female,0.980775,58,62,0.0781051,TRUE,FALSE
000713,female,51,female,0.613879,55,59,0.570663,TRUE,FALSE
000714,female,51,female,0.997861,76,80,0.266075,TRUE,FALSE
000715,female,56,female,0.981052,66,70,0.117338,TRUE,FALSE
000716,male,51,male,0.999998,69,73,0.612307,TRUE,FALSE
000717,female,51,male,0.994398,67,71,0.793131,FALSE,FALSE
000718,female,56,male,0.999453,81,85,0.493178,FALSE,FALSE
000719,female,53,male,0.540524,70,74,0.128994,FALSE,FALSE
000720,female,56,male,0.737737,69,73,0.552067,FALSE,FALSE
000721,female,53,female,0.99596,73,77,0.236881,TRUE,FALSE
000722,female,56,child,0.9879,83,87,0.481881,FALSE,FALSE
000723,female,56,male,0.937795,78,82,0.468583,FALSE,FALSE
000724,female,57,female,0.575369,77,81,0.248927,TRUE,FALSE
000725,female,50,male,0.998541,61,65,0.470111,FALSE,FALSE
000726,female,56,male,0.996583,83,87,0.369997,FALSE,FALSE
000728,female,58,female,0.650103,74,78,0.270915,TRUE,FALSE
000729,female,52,female,0.9999,69,73,0.843027,TRUE,FALSE
000730,female,51,female,0.986817,74,78,0.258732,TRUE,FALSE
000731,male,58,male,0.999976,65,69,1,TRUE,FALSE
000732,female,54,male,0.960239,82,86,1,FALSE,FALSE
000733,female,56,male,0.977042,76,80,0.0524247,FALSE,FALSE
000735,female,51,male,0.567753,68,72,0.910925,FALSE,FALSE
000736,female,53,female,0.999102,69,73,0.676359,TRUE,FALSE
000737,female,56,female,0.999457,74,78,0.227072,TRUE,FALSE
000738,female,53,female,0.999747,74,78,0.268712,TRUE,FALSE
000739,female,52,female,0.993644,78,82,0.385285,TRUE,FALSE
000740,female,52,male,0.997733,82,86,0.421567,FALSE,FALSE
000741,female,50,female,0.895308,61,65,0.39122,TRUE,FALSE
000742,female,58,female,0.999723,88,92,0.469689,TRUE,FALSE
000743,female,51,female,0.996325,78,82,0.29941,TRUE,FALSE
000745,female,51,female,0.994234,57,61,0.569288,TRUE,FALSE
000746,female,53,male,0.995872,75,79,0.354145,FALSE,FALSE
000747,female,52,female,0.984968,60,64,0.251527,TRUE,FALSE
000748-1,female,54,female,0.982815,70,74,0.243575,TRUE,FALSE
000748,female,55,female,0.973136,77,81,0.376477,TRUE,FALSE
000750,female,52,female,0.987539,78,82,0.0549588,TRUE,FALSE
000751,female,56,female,0.964094,70,74,0.362079,TRUE,FALSE
000754,female,50,female,0.999754,64,68,0.516554,TRUE,FALSE
000755,female,53,female,0.998691,67,71,0.233344,TRUE,FALSE
000758,female,56,female,0.995156,61,65,0.567561,TRUE,FALSE
000759,female,57,female,0.998619,57,61,0.387908,TRUE,TRUE
000760,female,50,female,0.995634,66,70,0.24015,TRUE,FALSE
000763,female,55,male,0.999912,87,91,0.607881,FALSE,FALSE
000764,female,56,female,0.996261,68,72,0.300674,TRUE,FALSE
000765,female,57,female,0.953483,83,87,0.391838,TRUE,FALSE
000766,female,53,female,0.999939,61,65,0.410853,TRUE,FALSE
000767,female,56,male,0.999896,67,71,0.355621,FALSE,FALSE
000768,female,58,female,0.99995,80,84,0.19762,TRUE,FALSE
000769,female,56,male,0.979657,80,84,0.293234,FALSE,FALSE
000770,female,50,female,0.86303,67,71,0.919075,TRUE,FALSE
000771,female,58,male,0.957278,76,80,0.342873,FALSE,FALSE
000772,female,54,female,0.844084,73,77,0.27581,TRUE,FALSE
000773,female,57,female,0.997582,85,89,0.506331,TRUE,FALSE
000775,male,56,male,0.999999,54,58,0.602309,TRUE,TRUE
000776,female,57,female,0.993502,85,89,0.447996,TRUE,FALSE
000778,female,56,male,0.999716,82,86,0.550831,FALSE,FALSE
000779,female,50,male,0.990267,58,62,0.299869,FALSE,FALSE
000781,male,51,male,0.999938,69,73,1,TRUE,FALSE
000782,female,58,male,0.993361,79,83,0.165533,FALSE,FALSE
000783,male,58,male,0.999671,89,93,0.491624,TRUE,FALSE
000786,female,50,male,0.999683,80,84,0.210852,FALSE,FALSE
000789,female,54,male,0.710575,75,79,0.458283,FALSE,FALSE
000797,female,56,male,0.98765,72,76,0.420785,FALSE,FALSE
000799,female,51,female,0.995332,67,71,0.317391,TRUE,FALSE
000801,male,59,male,0.992205,80,84,0.744176,TRUE,FALSE
000802,female,52,female,0.996895,60,64,0.0538471,TRUE,FALSE
000807,male,59,male,0.99999,80,84,0.234773,TRUE,FALSE
000808,male,54,male,0.999992,79,83,0.528162,TRUE,FALSE
000809,male,51,male,1,62,66,0.352108,TRUE,FALSE
000810,male,58,male,1,69,73,0.519265,TRUE,FALSE
000811,male,55,male,0.999945,72,76,0.687419,TRUE,FALSE
000812,male,55,male,0.999965,85,89,0.331693,TRUE,FALSE
000814,male,56,male,0.999999,74,78,0.446941,TRUE,FALSE
000815,female,51,male,0.996472,65,69,0.825048,FALSE,FALSE
000816,female,54,female,0.999899,63,67,0.354086,TRUE,FALSE
000817,female,52,male,0.999845,65,69,0.513532,FALSE,FALSE
000818,female,52,female,0.936562,78,82,0.39905,TRUE,FALSE
000819,female,57,male,0.996839,79,83,0.265269,FALSE,FALSE
000820,female,51,female,0.720998,83,87,0.423226,TRUE,FALSE
000821,male,56,male,0.999983,75,79,0.404141,TRUE,FALSE
000824,female,55,female,0.85436,80,84,0.385224,TRUE,FALSE
000825,male,53,male,0.999978,73,77,0.46425,TRUE,FALSE
000826,female,55,female,0.999621,60,64,0.496962,TRUE,FALSE
000827,female,55,female,0.99805,74,78,0.324641,TRUE,FALSE
000829,female,55,male,0.999856,74,78,0.270047,FALSE,FALSE
000830,female,55,female,0.994177,68,72,0.88063,TRUE,FALSE
000831,female,55,male,0.998502,72,76,0.301162,FALSE,FALSE
000900,female,48,female,0.999703,68,72,1,TRUE,FALSE
000901,female,49,female,0.977751,65,69,0.787399,TRUE,FALSE
001002,female,42,female,0.996178,58,62,0.232513,TRUE,FALSE
001003,male,24,male,1,34,38,0.271826,TRUE,FALSE
001004,female,23,female,0.999762,9,13,0.660732,TRUE,FALSE
001005,male,24,male,0.999999,20,24,0.765602,TRUE,TRUE
001006,female,19,female,0.999044,14,18,0.341673,TRUE,FALSE
001008,female,58,female,0.999071,56,60,0.416667,TRUE,TRUE
001009,female,40,female,0.970707,26,30,0.389338,TRUE,FALSE
001010,male,59,male,0.999996,70,74,0.310302,TRUE,FALSE
001011,male,30,male,1,29,33,0.386349,TRUE,TRUE
001012,female,18,female,0.992592,20,24,0.895971,TRUE,FALSE
001013,female,25,female,0.998944,38,42,0.187993,TRUE,FALSE
001014,male,19,male,0.999964,13,17,0.487454,TRUE,FALSE
001015,female,22,female,0.996292,16,20,1,TRUE,FALSE
001016,male,26,male,0.999998,28,32,0.399832,TRUE,FALSE
001017,male,24,male,1,22,26,0.488402,TRUE,TRUE
001018,female,25,female,0.999344,23,27,1,TRUE,TRUE
001019,male,29,male,0.999997,29,33,0.75407,TRUE,TRUE
001021,female,58,male,0.995069,81,85,0.89231,FALSE,FALSE
001022,male,21,male,0.999991,15,19,0.750776,TRUE,FALSE
001023,male,19,male,0.999885,16,20,0.683187,TRUE,TRUE
001024-1,female,24,female,0.999794,38,42,0.0535584,TRUE,FALSE
001024,male,58,male,1,49,53,1,TRUE,FALSE
001025,male,19,male,0.999972,15,19,1,TRUE,TRUE
001026-1,male,25,male,0.999998,22,26,0.451457,TRUE,TRUE
001026,male,57,male,0.999995,70,74,0.600716,TRUE,FALSE
001027,male,55,male,1,59,63,0.540022,TRUE,FALSE
001028,female,25,female,0.999846,18,22,0.813487,TRUE,FALSE
001029-1,female,23,female,0.999725,23,27,0.546322,TRUE,TRUE
001029,male,59,male,0.999997,74,78,0.163434,TRUE,FALSE
001030,male,26,male,0.999995,26,30,0.336481,TRUE,TRUE
001031,female,45,male,0.999862,38,42,0.647998,FALSE,FALSE
001032,female,25,female,0.999938,27,31,0.280059,TRUE,FALSE
001033,female,19,female,0.999358,10,14,0.981396,TRUE,FALSE
001034,male,27,male,0.999974,27,31,0.628116,TRUE,TRUE
001035,female,25,female,0.99648,11,15,0.463483,TRUE,FALSE
001036,female,25,female,0.999837,24,28,0.473132,TRUE,TRUE
001037,male,18,male,1,24,28,0.614146,TRUE,FALSE
001038-1,male,20,male,0.999999,20,24,1,TRUE,TRUE
001038,male,60,male,0.99998,78,82,0.758451,TRUE,FALSE
001039,female,25,female,0.99946,24,28,0.3253,TRUE,TRUE
001040,male,30,male,0.999807,46,50,0.089944,TRUE,FALSE
001041,female,25,female,0.999482,10,14,1,TRUE,FALSE
001042,male,19,male,0.999962,19,23,0.30101,TRUE,TRUE
001043-1,male,23,male,0.999997,19,23,0.835949,TRUE,TRUE
001043,male,60,male,0.999982,80,84,0.291419,TRUE,FALSE
